Time_slot:10-20, pid:1023, arrival-time:10, remaining_time:1650
Time_slot:20-30, pid:1023, arrival-time:10, remaining_time:1640
Time_slot:30-50, pid:1023, arrival-time:10, remaining_time:1620
Time_slot:50-60, pid:123, arrival-time:50, remaining_time:80
Time_slot:60-70, pid:123, arrival-time:50, remaining_time:70
Time_slot:70-90, pid:123, arrival-time:50, remaining_time:50
Time_slot:90-98, pid:12, arrival-time:80, remaining_time:0
Time_slot:98-108, pid:13, arrival-time:80, remaining_time:210
Time_slot:108-118, pid:13, arrival-time:80, remaining_time:200
Time_slot:118-138, pid:13, arrival-time:80, remaining_time:180
Time_slot:138-158, pid:13, arrival-time:80, remaining_time:160
Time_slot:158-178, pid:123, arrival-time:50, remaining_time:30
Time_slot:178-198, pid:1023, arrival-time:10, remaining_time:1600
Time_slot:198-228, pid:13, arrival-time:80, remaining_time:130
Time_slot:228-258, pid:13, arrival-time:80, remaining_time:100
Time_slot:258-288, pid:123, arrival-time:50, remaining_time:0
Time_slot:288-318, pid:1023, arrival-time:10, remaining_time:1570
Time_slot:318-348, pid:1023, arrival-time:10, remaining_time:1540
Time_slot:348-388, pid:13, arrival-time:80, remaining_time:60
Time_slot:388-428, pid:13, arrival-time:80, remaining_time:20
Time_slot:428-468, pid:1023, arrival-time:10, remaining_time:1500
Time_slot:468-500, pid:1023, arrival-time:10, remaining_time:1468
Time_slot:500-518, pid:13, arrival-time:80, remaining_time:2
Time_slot:518-526, pid:1023, arrival-time:10, remaining_time:1460
Time_slot:526-528, pid:13, arrival-time:80, remaining_time:0
Time_slot:528-548, pid:1023, arrival-time:10, remaining_time:1440
Time_slot:548-568, pid:1023, arrival-time:10, remaining_time:1420
Time_slot:568-598, pid:1023, arrival-time:10, remaining_time:1390
Time_slot:598-628, pid:1023, arrival-time:10, remaining_time:1360
Time_slot:628-668, pid:1023, arrival-time:10, remaining_time:1320
Time_slot:668-708, pid:1023, arrival-time:10, remaining_time:1280
Time_slot:708-758, pid:1023, arrival-time:10, remaining_time:1230
Time_slot:758-808, pid:1023, arrival-time:10, remaining_time:1180
Time_slot:808-868, pid:1023, arrival-time:10, remaining_time:1120
Time_slot:868-928, pid:1023, arrival-time:10, remaining_time:1060
Time_slot:928-988, pid:1023, arrival-time:10, remaining_time:1000
Time_slot:988-1000, pid:1023, arrival-time:10, remaining_time:988
Time_slot:1000-1048, pid:1023, arrival-time:10, remaining_time:940
Time_slot:1048-1068, pid:1023, arrival-time:10, remaining_time:920
Time_slot:1068-1088, pid:1023, arrival-time:10, remaining_time:900
Time_slot:1088-1118, pid:1023, arrival-time:10, remaining_time:870
Time_slot:1118-1148, pid:1023, arrival-time:10, remaining_time:840
Time_slot:1148-1188, pid:1023, arrival-time:10, remaining_time:800
Time_slot:1188-1228, pid:1023, arrival-time:10, remaining_time:760
Time_slot:1228-1278, pid:1023, arrival-time:10, remaining_time:710
Time_slot:1278-1328, pid:1023, arrival-time:10, remaining_time:660
Time_slot:1328-1388, pid:1023, arrival-time:10, remaining_time:600
Time_slot:1388-1448, pid:1023, arrival-time:10, remaining_time:540
Time_slot:1448-1500, pid:1023, arrival-time:10, remaining_time:488
Time_slot:1500-1508, pid:1023, arrival-time:10, remaining_time:480
Time_slot:1508-1568, pid:1023, arrival-time:10, remaining_time:420
Time_slot:1568-1588, pid:1023, arrival-time:10, remaining_time:400
Time_slot:1588-1608, pid:1023, arrival-time:10, remaining_time:380
Time_slot:1608-1638, pid:1023, arrival-time:10, remaining_time:350
Time_slot:1638-1668, pid:1023, arrival-time:10, remaining_time:320
Time_slot:1668-1708, pid:1023, arrival-time:10, remaining_time:280
Time_slot:1708-1748, pid:1023, arrival-time:10, remaining_time:240
Time_slot:1748-1798, pid:1023, arrival-time:10, remaining_time:190
Time_slot:1798-1848, pid:1023, arrival-time:10, remaining_time:140
Time_slot:1848-1908, pid:1023, arrival-time:10, remaining_time:80
Time_slot:1908-1968, pid:1023, arrival-time:10, remaining_time:20
Time_slot:1968-1988, pid:1023, arrival-time:10, remaining_time:0
